"Year","Total_Energy"
1985,9825.320895
1986,10120.31776
1987,10611.5288
1988,11074.62838
1989,11588.06717
1990,11890.41084
1991,12150.37459
1992,12258.41219
1993,12516.93198
1994,12842.40337
1995,13289.64331
1996,13702.73122
1997,14028.82502
1998,14400.43094
1999,14810.2828
2000,14777.98192
2001,15035.06922
2002,15556.98018
2003,16089.07439
2004,16861.94051
2005,17509.03717
2006,18251.74119
2007,19143.51585
2008,19441.83892
2009,19376.94338
2010,20780.51781
2011,21501.61961
2012,21946.81021
2013,22540.33923
2014,22952.24095
2015,23313.93687
2016,23925.44468
2017,24570.37557
2018,25559.57167
2019,25899.80565
2020,25865.74831
2021,25869.6412055634
2022,26343.0589846105
2023,26816.4767636574
2024,27289.8945427045
2025,27763.3123217514
2026,28236.7301007984
2027,28710.1478798453
2028,29183.5656588923
2029,29656.9834379393
2030,30130.4012169862
2031,30603.8189960333
2032,31077.2367750802
2033,31550.6545541272
2034,32024.0723331742
2035,32497.4901122211
2036,32970.9078912681
2037,33444.3256703151
2038,33917.7434493621
2039,34391.161228409
2040,34864.5790074561
2041,35337.996786503
2042,35811.4145655499
2043,36284.832344597
2044,36758.2501236439
2045,37231.6679026909
2046,37705.0856817379
2047,38178.5034607849
2048,38651.9212398318
2049,39125.3390188788
2050,39598.7567979258
2051,40072.1745769727
2052,40545.5923560198
2053,41019.0101350667
2054,41492.4279141137
2055,41965.8456931607
2056,42439.2634722076
2057,42912.6812512546
2058,43386.0990303016
2059,43859.5168093486
2060,44332.9345883955
2061,44806.3523674426
2062,45279.7701464895
2063,45753.1879255364
2064,46226.6057045835
2065,46700.0234836304
2066,47173.4412626774
2067,47646.8590417244
2068,48120.2768207714
2069,48593.6945998183
2070,49067.1123788652
2071,49540.5301579123
2072,50013.9479369592
2073,50487.3657160063
2074,50960.7834950532
2075,51434.2012741002
2076,51907.6190531472
2077,52381.0368321941
2078,52854.4546112411
2079,53327.872390288
2080,53801.2901693351
2081,54274.707948382
2082,54748.1257274291
2083,55221.543506476
2084,55694.9612855229
2085,56168.3790645699
2086,56641.7968436169
2087,57115.2146226639
2088,57588.6324017108
2089,58062.0501807579
2090,58535.4679598048
2091,59008.8857388517
2092,59482.3035178988
2093,59955.7212969457
2094,60429.1390759927
2095,60902.5568550397
2096,61375.9746340867
2097,61849.3924131336
2098,62322.8101921806
2099,62796.2279712276
2100,63269.6457502745
