ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_pct
1990-01-01,1070.57990704,1208.428266854411,2403.291336912408,1070.57990704,1070.57990704,752.2519017660242,752.2519017660242,752.2519017660242,752.2519017660242,752.2519017660242,752.2519017660242,0.0,0.0,0.0,1822.8318088060241,18.55238956860578
1991-01-01,1180.574922735493,1323.2396431983398,2542.40827008223,1180.574922735493,1180.574922735493,770.6374492965887,770.6374492965887,770.6374492965887,770.6374492965887,770.6374492965887,770.6374492965887,0.0,0.0,0.0,1951.2123720320815,19.28014928290237
1992-01-01,1290.5699385778507,1495.233773071438,2749.171363867551,1290.5699385778507,1290.5699385778507,809.7044684280231,809.7044684280231,809.7044684280231,809.7044684280231,809.7044684280231,809.7044684280231,0.0,0.0,0.0,2100.274407005874,19.792382856331443
1993-01-01,1400.8663106207744,1487.1750324127972,2731.625200429685,1400.8663106207744,1400.8663106207744,754.5628921301945,754.5628921301945,754.5628921301945,754.5628921301945,754.5628921301945,754.5628921301945,0.0,0.0,0.0,2155.429202750969,19.462767767842422
1994-01-01,1510.8613266108453,1658.499089630503,2874.7006116317784,1510.8613266108453,1510.8613266108453,752.2519017660098,752.2519017660098,752.2519017660098,752.2519017660098,752.2519017660098,752.2519017660098,0.0,0.0,0.0,2263.113228376855,19.529686833674567
1995-01-01,1620.8563425225725,1798.9117417260281,2996.6484093291815,1620.8563425225725,1620.8563425225725,770.6374492966069,770.6374492966069,770.6374492966069,770.6374492966069,770.6374492966069,770.6374492966069,0.0,0.0,0.0,2391.4937918191795,20.112793611588778
1996-01-01,1730.8513585650205,1940.315242005653,3124.1350361318987,1730.8513585650205,1730.8513585650205,809.7044684280452,809.7044684280452,809.7044684280452,809.7044684280452,809.7044684280452,809.7044684280452,0.0,0.0,0.0,2540.5558269930657,20.90927985943737
1997-01-01,1841.1477309332017,2000.80098642375,3183.1454924868467,1841.1477309332017,1841.1477309332017,754.5628921301529,754.5628921301529,754.5628921301529,754.5628921301529,754.5628921301529,754.5628921301529,0.0,0.0,0.0,2595.7106230633544,21.17493344840246
1998-01-01,1951.1483885165774,2104.2443521992695,3298.2416312535856,1951.1483885165774,1951.1483885165774,752.2519017660228,752.2519017660228,752.2519017660228,752.2519017660228,752.2519017660228,752.2519017660228,0.0,0.0,0.0,2703.4002902826,21.597946642213838
1999-01-01,2061.1558870491435,2203.862930352346,3456.554820191594,2061.1558870491435,2061.1558870491435,770.637449296564,770.637449296564,770.637449296564,770.637449296564,770.637449296564,770.637449296564,0.0,0.0,0.0,2831.7933363457078,22.050337890498046
2000-01-01,2171.206705325072,2360.516528382656,3623.5007575695254,2171.206705325072,2171.206705325072,809.7044684283597,809.7044684283597,809.7044684283597,809.7044684283597,809.7044684283597,809.7044684283597,0.0,0.0,0.0,2980.9111737534317,22.43033243420761
2001-01-01,2281.610755398796,2375.4703882825615,3679.0767945448706,2281.610755398796,2281.610755398796,754.5628921300594,754.5628921300594,754.5628921300594,754.5628921300594,754.5628921300594,754.5628921300594,0.0,0.0,0.0,3036.1736475288553,22.15743415515126
2002-01-01,2391.80048845368,2583.428214400825,3718.969275742391,2391.80048845368,2391.80048845368,752.2519017660488,752.2519017660488,752.2519017660488,752.2519017660488,752.2519017660488,752.2519017660488,0.0,0.0,0.0,3144.0523902197287,22.411373623503422
2003-01-01,2502.1765507821774,2643.301502496187,3926.920397701227,2502.1765507821774,2502.1765507821774,770.6374492967147,770.6374492967147,770.6374492967147,770.6374492967147,770.6374492967147,770.6374492967147,0.0,0.0,0.0,3272.814000078892,22.727194857676196
2004-01-01,2612.7088620695945,2819.930696603938,3991.008822571696,2612.7088620695945,2612.7088620695945,809.7044684279178,809.7044684279178,809.7044684279178,809.7044684279178,809.7044684279178,809.7044684279178,0.0,0.0,0.0,3422.413330497512,23.10835908209337
2005-01-01,2723.744255234795,2875.597076521494,4060.7217165238053,2723.744255234795,2723.744255234795,754.5628921301113,754.5628921301113,754.5628921301113,754.5628921301113,754.5628921301113,754.5628921301113,0.0,0.0,0.0,3478.3071473649065,23.537091642110404
2006-01-01,2834.680992809026,2908.2453446399695,4190.595712926114,2834.680992809026,2834.680992809026,752.2519017659852,752.2519017659852,752.2519017659852,752.2519017659852,752.2519017659852,752.2519017659852,0.0,0.0,0.0,3586.9328945750112,23.85710928289967
2007-01-01,2945.798516870144,3120.890483799303,4335.308189580146,2945.798516870144,2945.798516870144,770.637449296586,770.637449296586,770.637449296586,770.637449296586,770.637449296586,770.637449296586,0.0,0.0,0.0,3716.43596616673,23.88918622487266
2008-01-01,3057.3058211326093,3229.551749583821,4505.967505163451,3057.3058211326093,3057.3058211326093,809.7044684282141,809.7044684282141,809.7044684282141,809.7044684282141,809.7044684282141,809.7044684282141,0.0,0.0,0.0,3867.0102895608234,24.035007830931058
2009-01-01,3169.2916925391946,3288.425861039384,4531.954395657963,3169.2916925391946,3169.2916925391946,754.5628921302206,754.5628921302206,754.5628921302206,754.5628921302206,754.5628921302206,754.5628921302206,0.0,0.0,0.0,3923.854584669415,23.270480537767092
2010-01-01,3281.053380057582,3429.9591448300116,4628.274741925606,3281.053380057582,3281.053380057582,752.2519017660488,752.2519017660488,752.2519017660488,752.2519017660488,752.2519017660488,752.2519017660488,0.0,0.0,0.0,4033.305281823631,23.035562964788838
2011-01-01,3392.876992104893,3556.2006195021995,4729.398576518832,3392.876992104893,3392.876992104893,770.6374492966471,770.6374492966471,770.6374492966471,770.6374492966471,770.6374492966471,770.6374492966471,0.0,0.0,0.0,4163.51444140154,22.811601359341545
2012-01-01,3504.7376664067315,3658.7014816965802,4922.132059421294,3504.7376664067315,3504.7376664067315,809.7044684281817,809.7044684281817,809.7044684281817,809.7044684281817,809.7044684281817,809.7044684281817,0.0,0.0,0.0,4314.442134834913,22.537355043038833
2013-01-01,3616.9048083093976,3782.2137115279716,4963.9897724998345,3616.9048083093976,3616.9048083093976,754.5628921300424,754.5628921300424,754.5628921300424,754.5628921300424,754.5628921300424,754.5628921300424,0.0,0.0,0.0,4371.46770043944,22.484846821472587
2014-01-01,3728.765482611236,3842.4400462158733,5090.617286251886,3728.765482611236,3728.765482611236,752.2519017660527,752.2519017660527,752.2519017660527,752.2519017660527,752.2519017660527,752.2519017660527,0.0,0.0,0.0,4481.017384377289,23.12551209187302
2015-01-01,3840.626156913075,4019.110986488582,5262.780367193452,3840.626156913075,3840.626156913075,770.6374492965081,770.6374492965081,770.6374492965081,770.6374492965081,770.6374492965081,770.6374492965081,0.0,0.0,0.0,4611.2636062095835,22.190320993784628
2016-01-01,3952.486831214914,4104.462200271915,5405.582915423845,3952.486831214914,3952.486831214914,809.70446842817,809.70446842817,809.70446842817,809.70446842817,809.70446842817,809.70446842817,0.0,0.0,0.0,4762.191299643084,22.148058546381677
2017-01-01,4064.65397311758,4173.9420565767105,5446.288192306677,4064.65397311758,4064.65397311758,754.5628921302283,754.5628921302283,754.5628921302283,754.5628921302283,754.5628921302283,754.5628921302283,0.0,0.0,0.0,4819.2168652478085,21.958620952815945
2018-01-01,4176.514647419419,4355.0639743348065,5538.807971417238,4176.445776953123,4176.591099481696,752.2519017660215,752.2519017660215,752.2519017660215,752.2519017660215,752.2519017660215,752.2519017660215,0.0,0.0,0.0,4928.76654918544,21.866425783980713
2019-01-01,4288.375321721258,4417.181068676204,5687.2153213658985,4288.149398219695,4288.618292141331,770.6374492966588,770.6374492966588,770.6374492966588,770.6374492966588,770.6374492966588,770.6374492966588,0.0,0.0,0.0,5059.012771017917,22.041476394564935
2020-01-01,4400.235996023097,4609.394488920838,5824.340620954085,4399.811661761796,4400.701732394332,809.7044684282272,809.7044684282272,809.7044684282272,809.7044684282272,809.7044684282272,809.7044684282272,0.0,0.0,0.0,5209.940464451324,22.346892734171345
2021-01-01,4512.403137925763,4661.899812460256,5881.52697262016,4511.739419296698,4513.098405782205,754.5628921301283,754.5628921301283,754.5628921301283,754.5628921301283,754.5628921301283,754.5628921301283,0.0,0.0,0.0,5266.966030055892,22.01407790116732
